MODEL,SCENARIO,REGION,VARIABLE,UNIT,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged100+|Tertiary Education,million,,,,,,,,,,,,,0.004191399,0.008275798,0.016194714,0.022238163,0.028371979,0.0307656,0.040561844,0.064435522,0.110496214,0.153171831,0.186558113,0.221862932,0.247362772,0.287718162,0.343168728,0.412368008,0.481875744,0.546086736,0.582422093,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged15-19,million,,,,,,,,,,,,,10.545028,9.715305431,10.34400188,10.86989925,9.69116788,9.528801782,9.093903206,8.474412779,8.373284469,8.254734027,7.92589523,7.456759536,7.095991479,6.76285196,6.501377322,6.282737917,6.022073073,5.701164966,5.368404459,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged15-19|No Education,million,,,,,,,,,,,,,0.019901728,0.025655598,0.027315822,0.02870458,0.025591857,0.02516309,0.024014636,0.022378722,0.022111669,0.021798608,0.02093023,0.019691365,0.01873867,0.017858935,0.017168448,0.016591079,0.01590273,0.015055295,0.014176561,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged15-19|Primary Education,million,,,,,,,,,,,,,1.710133189,1.821089565,1.938935839,2.037512895,1.816565091,1.786130309,1.70461056,1.588489913,1.569533874,1.547312136,1.485672808,1.397735468,1.330111145,1.267665666,1.218653442,1.177670485,1.128810052,1.068657296,1.006282861,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged15-19|Secondary Education,million,,,,,,,,,,,,,8.814993083,7.868560268,8.377750219,8.803681776,7.849010932,7.717508383,7.36527801,6.863544143,6.781638926,6.685623283,6.419292193,6.039332704,5.747141663,5.477327358,5.265555432,5.088476354,4.87736029,4.617452375,4.347945037,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged15-19|Tertiary Education,million,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged20-24,million,,,,,,,,,,,,,10.516908,10.60712758,9.759222747,10.36981338,10.8964764,9.724202368,9.561548643,9.124839888,8.504350724,8.403652271,8.285704362,7.952076954,7.478235534,7.112458371,6.774229639,6.508113983,6.285199999,6.020438051,5.695631246,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged20-24|No Education,million,,,,,,,,,,,,,0.016986425,0.017048339,0.015685542,0.016666915,0.017513396,0.015629255,0.015367829,0.014665928,0.013668645,0.013506797,0.013317225,0.012781001,0.012019418,0.011431521,0.010887902,0.010460187,0.010101908,0.009676368,0.009154321,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged20-24|Primary Education,million,,,,,,,,,,,,,0.914781493,1.127855029,1.037697376,1.102621429,1.158621467,1.033973662,1.016678704,0.970243497,0.904266934,0.893559675,0.881018284,0.845543708,0.795160188,0.756267131,0.720303297,0.69200724,0.668304814,0.640152698,0.605616016,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged20-24|Secondary Education,million,,,,,,,,,,,,,6.325832561,6.711076721,6.174611562,6.560929212,6.894146279,6.152454343,6.049544142,5.773240691,5.380660291,5.316948882,5.242323828,5.031239431,4.731442328,4.500016941,4.286021309,4.11765126,3.976614694,3.80910113,3.603597485,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged20-24|Tertiary Education,million,,,,,,,,,,,,,3.25930752,2.751147491,2.531228268,2.689595826,2.826195262,2.522145109,2.479957968,2.366689773,2.205754855,2.179636917,2.149045026,2.062512814,1.939613601,1.844742778,1.757017131,1.687995295,1.630178583,1.561507855,1.477263424,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged25-29,million,,,,,,,,,,,,,10.744192,11.06584075,11.01357218,10.05543617,10.66471607,11.20114446,10.04955581,9.881981375,9.42977069,8.793551221,8.69128672,8.535317233,8.162821766,7.649986063,7.244559261,6.867254309,6.565804339,6.309992446,6.013627936,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged25-29|No Education,million,,,,,,,,,,,,,0.043075638,0.017284191,0.01720255,0.015705998,0.016657657,0.017495527,0.015696813,0.015435072,0.014728746,0.013735008,0.013575277,0.013331662,0.012749846,0.011948827,0.011315574,0.010726246,0.010255399,0.009855836,0.009392932,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged25-29|Primary Education,million,,,,,,,,,,,,,0.247953129,0.314647615,0.313161404,0.285917634,0.303241982,0.318494859,0.285750431,0.280985597,0.268127377,0.250037027,0.247129224,0.242694367,0.23210278,0.21752074,0.20599278,0.195264439,0.18669297,0.17941918,0.170992312,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged25-29|Secondary Education,million,,,,,,,,,,,,,6.272013722,6.907078382,6.874453377,6.276403878,6.656704306,6.991532277,6.272733472,6.168136833,5.88587589,5.488760312,5.424928839,5.327575777,5.095071493,4.774969616,4.521910245,4.286403975,4.09824488,3.938572169,3.753587319,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged25-29|Tertiary Education,million,,,,,,,,,,,,,4.18114951,3.826830564,3.808754851,3.477408661,3.68811212,3.873621802,3.475375093,3.417423873,3.261038677,3.041018874,3.00565338,2.951715427,2.822897647,2.64554688,2.505340663,2.374859649,2.270611089,2.18214526,2.079655374,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged30-34,million,,,,,,,,,,,,,9.760926,11.18461922,11.42595186,11.26474425,10.31466567,10.91267879,11.45457684,10.3344466,10.15596489,9.68382286,9.029458529,8.896247182,8.708063761,8.303102823,7.758170112,7.320572419,6.912480163,6.58321138,6.301936042,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged30-34|No Education,million,,,,,,,,,,,,,0.051150683,0.044655946,0.017846663,0.017594866,0.016110899,0.017044961,0.017891373,0.016141796,0.015863018,0.01512556,0.014103482,0.013895413,0.013601482,0.012968957,0.012117804,0.011434302,0.010796886,0.010282588,0.009843252,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged30-34|Primary Education,million,,,,,,,,,,,,,0.199758995,0.238240384,0.23617146,0.232839341,0.213201463,0.225562239,0.236763131,0.21361033,0.209921159,0.200162106,0.186636565,0.183883121,0.179993419,0.171622981,0.160359363,0.151314333,0.142879172,0.136073271,0.130259383,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged30-34|Secondary Education,million,,,,,,,,,,,,,5.052773552,6.066839167,6.232726811,6.144789895,5.626532833,5.952742192,6.248341412,5.637323104,5.539963361,5.282415254,4.925466952,4.852801677,4.750149761,4.529248174,4.231993577,3.993289011,3.770679326,3.591066949,3.437634451,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged30-34|Tertiary Education,million,,,,,,,,,,,,,4.45724277,4.834883726,4.939206921,4.869520147,4.458820474,4.717329401,4.951580919,4.467371367,4.390217349,4.18611994,3.90325153,3.84566697,3.764319099,3.589262711,3.353699368,3.164534773,2.988124779,2.845788572,2.724198956,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged35-39,million,,,,,,,,,,,,,10.122154,10.01605774,11.38256899,11.5747705,11.40787094,10.46838633,11.05788536,11.60249733,10.50931473,10.32394135,9.839724435,9.161292378,9.008556178,8.799459087,8.373284449,7.807200158,7.348470524,6.920347314,6.572902339,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged35-39|No Education,million,,,,,,,,,,,,,0.048368426,0.052364617,0.045340861,0.0180379,0.017778693,0.016315458,0.017235425,0.018085337,0.016382913,0.016095443,0.01534209,0.014285642,0.014048799,0.013723904,0.013060428,0.012178412,0.011463757,0.010796801,0.010255529,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged35-39|Primary Education,million,,,,,,,,,,,,,0.364769377,0.204686446,0.242119438,0.23892713,0.235488979,0.216102717,0.228281479,0.239532861,0.216976525,0.213161207,0.203175806,0.189177935,0.186034435,0.1817258,0.172933911,0.161250024,0.151782607,0.142946976,0.135776378,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged35-39|Secondary Education,million,,,,,,,,,,,,,5.332093906,5.184041461,6.173302385,6.312947712,6.221941504,5.709561716,6.031109728,6.328173648,5.731973626,5.630904547,5.366840481,4.996839226,4.913564579,4.799545079,4.567122861,4.258381021,4.008192224,3.774696237,3.585201685,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged35-39|Tertiary Education,million,,,,,,,,,,,,,4.376922291,4.574965215,4.921806306,5.00485776,4.932661765,4.526406436,4.781258732,5.016705484,4.543981664,4.463780152,4.254366059,3.960989576,3.894908364,3.804464304,3.620167249,3.375390701,3.177031936,2.9919073,2.841668747,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged40-44,million,,,,,,,,,,,,,10.273113,10.23955468,10.11625941,11.43938225,11.64158018,11.47429989,10.54600227,11.1308546,11.67845194,10.60804884,10.4220043,9.924027421,9.230781276,9.064753237,8.841408466,8.40082104,7.820189701,7.346941597,6.905233369,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged40-44|No Education,million,,,,,,,,,,,,,0.053715501,0.048754895,0.052700129,0.045408704,0.018080571,0.017823467,0.016384302,0.017295898,0.018150217,0.016490986,0.016206204,0.015435853,0.014361108,0.014106098,0.013761702,0.013078907,0.012177396,0.011442827,0.010757031,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged40-44|Primary Education,million,,,,,,,,,,,,,0.358193145,0.368204082,0.206283285,0.242819613,0.239827488,0.236402715,0.217299298,0.229373584,0.24068502,0.218659087,0.214859361,0.204624761,0.19035852,0.18696067,0.182379126,0.173314252,0.16135478,0.151608753,0.142510801,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged40-44|Secondary Education,million,,,,,,,,,,,,,5.564557419,5.392911083,5.234667079,6.202738217,6.347949674,6.256801165,5.750680023,6.06966969,6.368359298,5.784765547,5.683421164,5.411958056,5.033990006,4.943527085,4.821801163,4.581591962,4.264989819,4.00694541,3.766093932,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged40-44|Tertiary Education,million,,,,,,,,,,,,,4.296646936,4.429684621,4.622608915,4.94841572,5.035722444,4.963272545,4.561638647,4.814515423,5.051257406,4.588133225,4.507517575,4.292008751,3.992071641,3.920159384,3.823466475,3.632835918,3.381667706,3.176944607,2.985871605,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged45-49,million,,,,,,,,,,,,,11.582028,10.28602126,10.24128795,10.10253245,11.42130331,11.63243995,11.46904909,10.55464841,11.1376606,11.68949915,10.64188911,10.45152888,9.947356518,9.247415845,9.073856458,8.842444003,8.393621542,7.804998791,7.323601687,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged45-49|No Education,million,,,,,,,,,,,,,0.076386774,0.053487707,0.048498379,0.052346057,0.045102378,0.017975858,0.017728995,0.016321243,0.0172291,0.018090857,0.016478881,0.016192629,0.01541913,0.014340908,0.014078215,0.013725299,0.01303416,0.012124868,0.011381424,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged45-49|Primary Education,million,,,,,,,,,,,,,0.390662664,0.357448531,0.36705439,0.205324737,0.241680992,0.23893166,0.235620328,0.216880383,0.22891045,0.240316639,0.218853419,0.215006139,0.204694795,0.190344858,0.186823476,0.182107236,0.172907456,0.160819414,0.150934941,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged45-49|Secondary Education,million,,,,,,,,,,,,,6.649489529,5.569989586,5.392247318,5.225691019,6.190878392,6.340831677,6.251907527,5.753599307,6.071570141,6.372599376,5.801718444,5.698148322,5.423462109,5.042007863,4.947534979,4.82150587,4.576910842,4.256058933,3.993658881,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged45-49|Tertiary Education,million,,,,,,,,,,,,,4.465489034,4.305095431,4.433487863,4.619170637,4.943641553,5.034700753,4.963792236,4.567847476,4.819950905,5.058492273,4.604838363,4.522181787,4.303780484,4.000722216,3.925419788,3.825105597,3.630769084,3.375995575,3.167626442,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged5-9,million,,,,,,,,,,,,,10.205516,10.76216178,9.593591281,9.436563573,9.010079168,8.397398931,8.298134384,8.180633343,7.853134551,7.391049625,7.041932359,6.719983914,6.468451725,6.258788716,6.006866074,5.694401497,5.369404407,5.072000089,4.812202443,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged5-9|No Education,million,,,,,,,,,,,,,10.205516,10.76216178,9.593591281,9.436563573,9.010079168,8.397398931,8.298134384,8.180633343,7.853134551,7.391049625,7.041932359,6.719983914,6.468451725,6.258788716,6.006866074,5.694401497,5.369404407,5.072000089,4.812202443,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged50-54,million,,,,,,,,,,,,,11.322948,11.47881583,10.20252959,10.15106129,10.02510562,11.33586247,11.55488039,11.39923678,10.50320791,11.08776289,11.64632153,10.60916628,10.42023763,9.917450275,9.218860524,9.043798323,8.809970135,8.359333003,7.769299828,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged50-54|No Education,million,,,,,,,,,,,,,0.072906757,0.075107515,0.052637488,0.047701843,0.051555187,0.044441882,0.017731033,0.017502358,0.016136865,0.017047538,0.017922062,0.016341279,0.016064186,0.015301696,0.014235167,0.013975671,0.013624317,0.012936485,0.012031321,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged50-54|Primary Education,million,,,,,,,,,,,,,0.375701289,0.385319077,0.352854899,0.362121776,0.202810768,0.238828413,0.236357304,0.233254697,0.215001849,0.22706819,0.238632529,0.21750266,0.213740042,0.203527181,0.189280547,0.185771953,0.181047827,0.171858683,0.159790911,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged50-54|Secondary Education,million,,,,,,,,,,,,,6.655559622,6.587891613,5.522539285,5.342504573,5.183020791,6.141694041,6.295572044,6.211026731,5.723071547,6.041904874,6.346667469,5.781849032,5.679231438,5.405515327,5.02502758,4.929870097,4.802651776,4.557212443,4.235739398,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged50-54|Tertiary Education,million,,,,,,,,,,,,,4.218780332,4.430497626,4.274497917,4.398733098,4.587718871,4.910898136,5.005220008,4.937452994,4.548997648,4.801742286,5.043099471,4.593473304,4.511201962,4.293106071,3.99031723,3.914180603,3.812646215,3.617325391,3.361738199,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged55-59,million,,,,,,,,,,,,,10.003424,11.11890149,11.27424357,10.02907523,9.991509159,9.88076762,11.17768779,11.4059178,11.26208992,10.39359857,10.98400183,11.5423278,10.52318842,10.34102112,9.846087239,9.156047274,8.983657156,8.75230648,8.305106994,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged55-59|No Education,million,,,,,,,,,,,,,0.075840342,0.070797972,0.072959787,0.051184428,0.04646199,0.050295304,0.043391211,0.017336529,0.017134459,0.015831527,0.016753354,0.017629428,0.016095546,0.015838034,0.01509941,0.014058778,0.013810355,0.01346989,0.012795456,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged55-59|Primary Education,million,,,,,,,,,,,,,0.345623734,0.366406516,0.375915218,0.34456918,0.354159475,0.19863351,0.234094902,0.231998997,0.229206765,0.211679391,0.223884896,0.235461608,0.214853176,0.21130269,0.201344394,0.18737364,0.183975195,0.179357911,0.170303014,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged55-59|Secondary Education,million,,,,,,,,,,,,,5.78272694,6.532499424,6.467226571,5.425569292,5.255492772,5.104847432,6.052096804,6.210382992,6.132496795,5.660054224,5.982148552,6.286849423,5.732320853,5.633620208,5.36447441,4.988955282,4.895426074,4.769730751,4.526358897,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged55-59|Tertiary Education,million,,,,,,,,,,,,,3.799232984,4.149197575,4.358141991,4.207752325,4.335394922,4.526991373,4.848104875,4.946199283,4.8832519,4.506033425,4.761215028,5.002387345,4.559918846,4.480260184,4.265169025,3.965659575,3.890445532,3.789747928,3.595649628,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged60-64,million,,,,,,,,,,,,,8.652048,9.704885601,10.78767412,10.94598691,9.759006337,9.738745593,9.645680598,10.92324655,11.16306527,11.04211167,10.21501433,10.80798098,11.36908458,10.37831086,10.20903283,9.730019004,9.054925676,8.890378797,8.666664722,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged60-64|No Education,million,,,,,,,,,,,,,0.067945722,0.072393529,0.067597983,0.069733115,0.049051931,0.044622562,0.048392692,0.041818133,0.016741715,0.016588578,0.015377239,0.01630372,0.017185768,0.015720825,0.015495437,0.014797151,0.013795849,0.013569013,0.013249867,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged60-64|Primary Education,million,,,,,,,,,,,,,0.353040517,0.33196938,0.351989504,0.361477531,0.332169018,0.342093201,0.192176861,0.226843788,0.225259781,0.223049521,0.20659624,0.218863546,0.23051428,0.210689887,0.207503292,0.197998243,0.184463857,0.181302543,0.176918166,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged60-64|Secondary Education,million,,,,,,,,,,,,,5.210015755,5.60624786,6.333427737,6.274312404,5.275153748,5.118282163,4.978410035,5.908884408,6.072540265,6.007496224,5.558337981,5.88187999,6.188169139,5.649737645,5.558382326,5.298312701,4.931343288,4.842329201,4.721034076,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged60-64|Tertiary Education,million,,,,,,,,,,,,,3.021046007,3.694274832,4.034658891,4.240463856,4.102631639,4.233747667,4.42670101,4.745700221,4.848523505,4.794977347,4.434702872,4.690933722,4.933215394,4.502162501,4.427651772,4.218910909,3.925322682,3.853178039,3.755462611,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged65-69,million,,,,,,,,,,,,,6.514823,8.232481174,9.243349585,10.28515179,10.45949941,9.349531347,9.348384515,9.280154555,10.52810711,10.78931399,10.70456707,9.925740565,10.52305684,11.09053879,10.14352559,9.996791459,9.542655038,8.893813308,8.744445492,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged65-69|No Education,million,,,,,,,,,,,,,0.059321574,0.063165562,0.067367645,0.062996872,0.065170812,0.045983635,0.041935858,0.045601457,0.039508479,0.015875458,0.015794676,0.014689643,0.015620531,0.016512054,0.0151473,0.014971693,0.014331371,0.013392631,0.013201537,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged65-69|Primary Education,million,,,,,,,,,,,,,0.334485913,0.331129166,0.311645793,0.330862495,0.340709381,0.31399181,0.324121554,0.182516608,0.215987473,0.215250455,0.213924235,0.198724211,0.211068821,0.222854124,0.204194007,0.201594626,0.192759782,0.179942269,0.177193178,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged65-69|Secondary Education,million,,,,,,,,,,,,,4.29006517,4.953231204,5.334078943,6.03209426,5.988988588,5.047748442,4.90709067,4.782721438,5.687436796,5.861369143,5.816558518,5.394581274,5.720496056,6.03031313,5.516594673,5.437944168,5.191950727,4.839856194,4.759442351,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged65-69|Tertiary Education,million,,,,,,,,,,,,,1.830950343,2.884955241,3.530257204,3.859198168,4.064630634,3.941807461,4.075236434,4.269315052,4.58517436,4.696818937,4.658289637,4.317745437,4.575871432,4.820859485,4.407589607,4.342280971,4.143613157,3.860622215,3.794608425,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged70-74,million,,,,,,,,,,,,,4.989276,6.020454111,7.620317841,8.575660493,9.567159068,9.755708799,8.74666615,8.769389067,8.734708035,9.943817374,10.23363447,10.18901622,9.478579362,10.07997489,10.65234003,9.773519852,9.657720732,9.242421214,8.635038577,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged70-74|No Education,million,,,,,,,,,,,,,0.069031878,0.053116959,0.056622764,0.060535245,0.056787881,0.058936643,0.04172852,0.038180793,0.04167848,0.03627616,0.014653063,0.014646173,0.013680762,0.014608284,0.015498949,0.014279403,0.014166593,0.013609755,0.012762938,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged70-74|Primary Education,million,,,,,,,,,,,,,0.354338995,0.303146874,0.300420363,0.283380062,0.301743683,0.311718592,0.288221328,0.298447174,0.168645302,0.200480357,0.200840499,0.200449001,0.186943554,0.199304816,0.211134206,0.194208132,0.192374854,0.184535083,0.172799697,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged70-74|Secondary Education,million,,,,,,,,,,,,,3.449713654,3.962097757,4.57923162,4.941264057,5.602485735,5.577185494,4.713951597,4.594846081,4.491948966,5.361200205,5.548585626,5.526093218,5.142414934,5.470409041,5.782781111,5.307365057,5.246049572,5.021898652,4.693167485,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged70-74|Tertiary Education,million,,,,,,,,,,,,,1.116191473,1.702092521,2.684043093,3.29048113,3.606141768,3.807868071,3.702764705,3.837915018,4.032435286,4.345860651,4.469555281,4.447827832,4.135540112,4.395652753,4.642925768,4.25766726,4.205129713,4.022377724,3.756308457,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged75-79,million,,,,,,,,,,,,,4.152571,4.357128113,5.27548581,6.706025182,7.579959379,8.488154199,8.690295086,7.824706192,7.882673943,7.900665142,9.049223825,9.367716311,9.377313364,8.76893123,9.368519537,9.952453365,9.173108903,9.10426329,8.749454329,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged75-79|No Education,million,,,,,,,,,,,,,0.064568357,0.057700709,0.04449376,0.047599503,0.05110787,0.048145027,0.050195908,0.035700977,0.03284683,0.036097201,0.031647531,0.012873191,0.012952268,0.012176505,0.013077162,0.013966402,0.012943777,0.012915701,0.012477547,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,USA,Population|Female|Aged75-79|Primary Education,million,,,,,,,,,,,,,0.383443731,0.301235638,0.258242215,0.256804107,0.243251913,0.26005755,0.26989949,0.25066596,0.260945365,0.148384411,0.177702567,0.179294914,0.180058195,0.16894011,0.181083556,0.193012029,0.178507955,0.177758746,0.171385939,,,,,,,,,,
