"Function","Input","Type"
"fleet_vint_stock_f","fleet_vint_stock_update_with_stock_f",".R"
"fleet_vint_stock_f","fleet_ldv_stock_update_constant_f",".R"
"fleet_vint_stock_f","fleet_vint_stock_update_with_stock_f",".R"
"fleet_vint_stock_initialization_f","survival_rate_f",".R"
"fleet_vint_stock_initialization_f","survival_rate_f",".R"
"fleet_vint_stock_initialization_f","survival_rate_f",".R"
"fleet_vint_stock_initialization_f","survival_rate_f",".R"
"fleet_vint_stock_initialization_f","fleet_vint_stock_update_with_sales_f",".R"
"fleet_vint_stock_reg_f","fleet_sales_reg_f",".R"
"fleet_vint_stock_reg_f","survival_rate_f",".R"
"fleet_vint_stock_reg_f","survival_rate_f",".R"
"fleet_vint_stock_update_with_sales_f","survival_rate_f",".R"
"fleet_vint_stock_update_with_sales_f","survival_rate_f",".R"
"fleet_vint_stock_update_with_stock_f","survival_rate_f",".R"
"fleet_vint_stock_update_with_stock_f","survival_rate_f",".R"
"fleet_vkt_f","fleet_vint_stock_f",".R"
"fleet_vkt_f","fleet_rebound_vkt_f",".R"
"fleet_vkt_f","conversion_units","Input"
"fleet_vkt_f","annual_mileage_TEDB","Input"
"fleet_vkt_reg_f","fleet_vint_stock_reg_f",".R"
"fleet_vkt_reg_f","conversion_units","Input"
"fleet_vkt_reg_f","annual_mileage_TEDB","Input"
"fuel_price_f","fuel_price_aeo","Input"
"lca_ef_elec_f","ef_elec_gcam_f",".R"
"lca_ef_elec_f","ef_elec_own_f",".R"
"lca_ef_greet_f","lca_process","Input"
"lca_ef_greet_f","conversion_units","Input"
"lca_ef_greet_f","fuel_specs","Input"
"lca_ef_greet_f","EF_assembly_greet","Input"
"lca_ef_greet_f","EF_fuel_greet","Input"
"lca_ef_greet_f","EF_mat_trans_greet","Input"
"lca_ef_greet_f","EF_mat_prod_greet","Input"
"lca_ef_lit_f","lca_process","Input"
"lca_ef_lit_f","conversion_units","Input"
"lca_ef_lit_f","fuel_specs","Input"
"lca_ef_lit_f","EF_lit_review","Input"
"rec_rate_f","recovery_rate_hist","Input"
"rec_rate_f","recovery_rate_scen","Input"
"sub_fac_f","substitution_factor","Input"
"sub_fac_f","model_matching_component","Input"
"survival_rate_f","survival_rates","Input"
"vehicle_climate_change_metric_f","vehicle_lci_f",".R"
"vehicle_climate_change_metric_f","climate_change_metric_f",".R"
"vehicle_fc_changes_efficiency_f","coef_fc_changes_equation","Input"
"vehicle_fc_changes_weight_f","vehicle_frv_f",".R"
"vehicle_frv_f","coef_fc_changes_equation","Input"
"vehicle_hist_fc_f","epa_fleet_fc_hist","Input"
"vehicle_hist_fc_f","fc_ev_hist","Input"
"vehicle_hist_fc_f","vision_fe_hist","Input"
"vehicle_hist_fc_f","fc_degra_factor_vision","Input"
"vehicle_hist_fc_f","model_matching_technology","Input"
"vehicle_hist_fc_f","fuel_conversion","Input"
"vehicle_hist_fc_f","conversion_units","Input"
"vehicle_hist_material_composition_f","fleet_i_mat_cont_f",".R"
"vehicle_hist_material_composition_f","model_matching_material","Input"
"vehicle_hist_material_composition_f","fleet_mt_comp_hist","Input"
"vehicle_initialize_f","vehicle_hist_fc_f",".R"
"vehicle_initialize_f","vehicle_hist_material_composition_f",".R"
"vehicle_initialize_f","vehicle_specifications_f",".R"
"vehicle_initialize_f","vehicle_utility_factor_f",".R"
"vehicle_lca_demand_matrix_f","vehicle_module_f",".R"
"vehicle_lca_demand_matrix_f","fleet_mfa_f",".R"
"vehicle_lca_demand_matrix_f","model_matching_technology","Input"
"vehicle_lca_demand_matrix_f","conversion_units","Input"
"vehicle_lca_demand_matrix_f","lca_process","Input"
"vehicle_lca_demand_matrix_f","vkt_lifetime","Input"
"vehicle_lca_demand_matrix_f","annual_mileage_TEDB","Input"
"vehicle_lca_demand_matrix_f","new_scrap_rate","Input"
"vehicle_lci_f","model_matching_technology","Input"
"vehicle_lci_f","lca_process","Input"
"vehicle_lci_f","vehicle_lca_demand_matrix_f",".R"
"vehicle_lci_f","fleet_env_matrix_f",".R"
"vehicle_module_f","model_matching_technology","Input"
"vehicle_module_f","vehicle_initialize_f",".R"
"vehicle_module_f","vehicle_fc_changes_efficiency_f",".R"
"vehicle_module_f","vehicle_weight_changes_f",".R"
"vehicle_module_f","vehicle_fc_changes_weight_f",".R"
"vehicle_module_f","vehicle_utility_factor_f",".R"
"vehicle_peak_power_f","mackenzie_pwt_components","Input"
"vehicle_peak_power_f","greet_battery","Input"
"vehicle_specifications_f","vehicle_specifications","Input"
"vehicle_specifications_f","greet_battery","Input"
"vehicle_specifications_f","vehicle_specifications_dyn","Input"
"vehicle_specifications_f","vehicle_peak_power_f",".R"
"vehicle_specifications_f","battery_density_f",".R"
"vehicle_utility_factor_f","conversion_units","Input"
"vehicle_weight_changes_battery_f","greet_battery","Input"
"vehicle_weight_changes_battery_f","vehicle_frv_f",".R"
"vehicle_weight_changes_f","vehicle_wgt_changes_lightweighting_f",".R"
"vehicle_weight_changes_f","vehicle_wgt_changes_feature_f",".R"
"vehicle_weight_changes_f","vehicle_weight_changes_battery_f",".R"
"vehicle_weight_changes_f","vehicle_weight_changes_powertrain_f",".R"
"vehicle_weight_changes_f","vehicle_weight_changes_secondary_f",".R"
"vehicle_weight_changes_f","vehicle_weight_changes_battery_f",".R"
"vehicle_weight_changes_f","vehicle_weight_changes_powertrain_f",".R"
"vehicle_weight_changes_f","vehicle_weight_changes_secondary_f",".R"
"vehicle_weight_changes_powertrain_f","coef_mackenzie_equation","Input"
"vehicle_weight_changes_powertrain_f","vehicle_peak_power_f",".R"
"vehicle_weight_changes_secondary_f","coef_alonso_equation","Input"
"vehicle_weight_changes_secondary_f","model_matching_component","Input"
"vehicle_wgt_changes_lightweighting_f","lw_subsitution_scen","Input"
"vehicle_wgt_changes_lightweighting_f","sub_fac_f",".R"
